squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
LAZ,Dia,a,10.0,25,6.27,5.93,2.5,1.6,8.6,20.3,13.2,6.0,7.0,5.0,28.0
LAZ,Ratkov,a,10.0,7,5.95,5.84,1.5,0.6,4.3,19.5,11.1,7.0,9.0,6.0,31.0
LAZ,Cancellieri,c,9.0,28,6.22,5.93,2.4,1.2,7.2,23.2,16.3,7.0,8.0,7.0,34.0
LAZ,Isaksen,c,9.0,27,6.46,5.95,4.3,1.2,10.4,25.0,17.3,,,,
LAZ,Romagnoli,d,7.0,32,5.79,5.9,0.8,0.4,0.1,25.7,21.9,3.0,7.0,3.0,22.0
LAZ,Tavares N.,d,6.0,22,5.9,5.94,1.1,1.6,1.0,22.5,15.0,6.0,7.0,6.0,29.0
LAZ,Marusic,d,6.0,33,5.92,5.85,1.0,0.8,1.5,26.0,22.5,6.0,8.0,6.0,30.0
LAZ,Rovella,c,6.0,11,5.83,5.87,0.4,1.0,0.6,17.9,10.3,8.0,6.0,7.0,30.0
LAZ,Noslin,a,6.0,23,6.27,5.95,2.7,2.1,8.5,20.3,13.6,6.0,8.0,5.0,29.0
LAZ,Dele-Bashiru,c,5.0,21,6.19,5.87,1.9,0.9,8.1,18.6,15.0,6.0,9.0,5.0,29.0
LAZ,Cataldi,c,4.0,27,6.07,5.97,0.7,1.4,3.1,16.9,12.8,6.0,8.0,6.0,31.0
LAZ,Provstgaard,d,3.0,23,5.84,5.94,0.7,0.6,0.8,19.3,17.4,9.0,9.0,6.0,33.0
LAZ,Floriani Mussolini,d,3.0,23,5.79,5.8,0.6,0.9,0.4,15.2,5.1,6.0,9.0,6.0,29.0
LAZ,Lazzari,d,2.0,17,5.71,5.85,0.2,0.8,-0.1,12.4,9.0,5.0,6.0,4.0,23.0
LAZ,Pellegrini Lu.,d,2.0,24,5.83,5.83,0.5,0.8,0.4,18.6,10.8,5.0,8.0,5.0,27.0
LAZ,Motta,p,1.0,9,4.96,5.94,0.3,0.4,-13.9,12.1,11.8,,,,
LAZ,Patric,d,1.0,10,5.72,5.72,0.3,0.4,-0.0,9.1,6.2,3.0,4.0,2.0,17.0
LAZ,Belahyane,c,1.0,11,5.87,5.86,0.5,0.7,1.0,10.8,10.1,4.0,8.0,3.0,23.0
LEC,Falcone,p,8.0,38,5.07,6.2,0.1,0.3,-43.5,31.2,33.0,9.0,8.0,7.0,39.0
LEC,Tiago Gabriel,d,7.0,36,5.91,5.91,1.6,0.6,0.8,29.9,28.6,9.0,8.0,7.0,37.0
LEC,Stulic,a,7.0,30,6.13,5.88,2.8,1.7,11.0,22.7,18.1,6.0,8.0,5.0,29.0
LEC,Gallo,d,6.0,37,5.81,5.85,0.4,2.0,0.8,26.3,25.3,8.0,8.0,6.0,33.0
LEC,Coulibaly L.,c,6.0,33,6.0,5.88,1.2,0.9,2.1,27.2,23.6,8.0,8.0,7.0,36.0
LEC,Pierotti,c,6.0,37,5.99,5.9,1.2,1.7,3.2,25.2,22.6,,,,
LEC,Gaspar K.,d,5.0,21,5.81,5.84,0.7,0.5,0.2,19.7,17.7,8.0,7.0,6.0,32.0
LEC,Veiga D.,d,5.0,36,5.74,5.8,0.5,0.9,0.4,25.1,27.6,8.0,8.0,5.0,30.0
