stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,580,Edenilson,UDI,d,cd|cs,8.0,4.0,
2015-16,583,Heurtaux,UDI,d,dc,7.0,4.0,
2015-16,586,Piris,UDI,d,dd|ds|dc,6.0,4.0,
2015-16,587,Wague,UDI,d,dc,5.0,4.0,
2015-16,593,Iturra,UDI,c,m|cc,6.0,4.0,
2015-16,601,Aguirre,UDI,a,pc,6.0,4.0,
2015-16,621,Romulo,VER,d,cd|m|cc,6.0,4.0,
2015-16,640,Chiriches,NAP,d,dd|dc,6.0,4.0,
2015-16,699,Carbonero,SAM,c,cc|t,10.0,4.0,
2015-16,700,Tonev,FRO,c,w|a,7.0,4.0,
2015-16,701,Verdu',FIO,c,t,5.0,4.0,
2015-16,705,Vainqueur,ROM,c,m|cc,6.0,4.0,
2015-16,707,Livaja,EMP,a,a,12.0,4.0,
2015-16,709,Cosic,EMP,d,dc,4.0,4.0,
2015-16,714,Morganella,PAL,d,dd|cd,6.0,4.0,
2015-16,716,Telles,INT,d,ds|cs,8.0,4.0,
2015-16,773,Arteaga,PAL,a,pc,5.0,4.0,
2015-16,780,Cionek,PAL,d,dc,3.0,4.0,
2015-16,799,Bardi,FRO,p,por,3.0,4.0,
2015-16,6,Bellini,ATA,d,dd|ds|dc,1.0,3.0,
2015-16,8,Brivio,ATA,d,ds|cs,3.0,3.0,
2015-16,17,Stendardo,ATA,d,dc,6.0,3.0,
2015-16,18,Suagher,CAR,d,dd|dc,2.0,3.0,
2015-16,50,Mbaye,BOL,d,dd|ds|cd|cs,6.0,3.0,
2015-16,62,Acquafresca,BOL,a,pc,14.0,3.0,
2015-16,75,Poli F,CAR,d,dd|ds|dc,3.0,3.0,
2015-16,79,Wallace O,CAR,d,dd|cd,4.0,3.0,
2015-16,97,Seculin,CHI,p,por,1.0,3.0,
2015-16,108,Sardo,CHI,d,dd|cd,2.0,3.0,
2015-16,149,Ronaldo P,LAZ,c,m|cc,6.0,3.0,
2015-16,151,Signorelli,EMP,c,m|cc,3.0,3.0,
2015-16,169,Tomovic,FIO,d,dd|dc,5.0,3.0,
2015-16,186,Rebic,VER,a,a,4.0,3.0,
2015-16,195,Crivello,FRO,d,ds|cs,4.0,3.0,
2015-16,199,Russo Ad.,FRO,d,dc,1.0,3.0,
2015-16,211,Carlini,FRO,a,w|a,4.0,3.0,
2015-16,256,Juan Jesus,INT,d,ds|dc,5.0,3.0,
2015-16,283,Neto,JUV,p,por,1.0,3.0,
2015-16,291,Isla,JUV,d,dd|cd|m,3.0,3.0,
2015-16,301,Padoin,JUV,c,cd|cs|m|cc,4.0,3.0,
2015-16,305,Sturaro,JUV,c,m|cc,5.0,3.0,
2015-16,316,Berisha,LAZ,p,por,1.0,3.0,
2015-16,321,Cana,LAZ,d,dc|m,3.0,3.0,
2015-16,323,Gentiletti,LAZ,d,dc,8.0,3.0,
2015-16,326,Mauricio N.,LAZ,d,dc,5.0,3.0,
2015-16,347,Perea,LAZ,a,pc,3.0,3.0,
2015-16,354,Albertazzi,VER,d,ds|dc,1.0,3.0,
2015-16,358,De Sciglio,MIL,d,dd|ds|cd|cs,6.0,3.0,
2015-16,371,Mauri J,MIL,c,m|cc,7.0,3.0,
