stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,6,Frosinone,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.7939058643144866,1.7011286745158334,3,0.2,0.4,1.6,0.8226690696552396,2.051658133324236,5
2015-16,6,Napoli,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6597540007593732,0.8762459248925248,3,1.2,2.0,1.2,1.5743683787994087,1.2315691323950886,5
2015-16,6,Torino,1.3333333333333333,1.3333333333333333,1.0,1.2615587105974555,0.9476658894369999,3,2.0,1.8,1.0,1.286456368677318,0.9357593464665115,5
2015-16,6,Inter,3.0,1.0,0.0,1.3559893937781453,0.6507703028619289,3,3.0,1.2,0.2,1.6869382299482822,0.6397927800193429,5
2015-16,6,Atalanta,1.6666666666666667,1.3333333333333333,1.0,0.9792660782113671,0.9138106893127164,3,1.6,1.2,0.8,1.2948666339740158,0.922734191454947,5
2015-16,6,Lazio,2.0,1.3333333333333333,1.6666666666666667,1.0430986924717824,1.2460787408053875,3,1.8,1.2,2.0,1.1100538730621339,1.150851641409099,5
2015-16,6,Palermo,0.3333333333333333,1.3333333333333333,2.0,1.042531761340797,0.9811791414394975,3,1.4,1.2,1.2,1.1117134673520923,1.2593505388125776,5
2015-16,6,Udinese,0.0,1.0,2.3333333333333335,0.890640065073967,0.8941836887970567,3,0.6,0.8,1.6,1.2229805083945393,1.0597579369321466,5
2015-16,6,Milan,2.0,2.0,1.6666666666666667,0.9248330391322573,1.4255289435386658,3,1.8,1.6,1.6,0.8822981273755431,1.4503494273871183,5
2015-16,6,Fiorentina,3.0,1.3333333333333333,0.0,0.9206632990390062,0.8083036352569858,3,2.4,1.4,0.6,1.1317367628216743,0.7319131417199969,5
2015-16,6,Genoa,0.0,0.0,1.6666666666666667,0.4482213305309415,1.2232108348980546,3,0.6,0.4,1.2,0.830990226007998,1.1664229072630405,5
2015-16,7,Sassuolo,1.6666666666666667,1.3333333333333333,1.0,0.8257320045183102,0.908977871760726,3,1.8,1.4,1.0,0.9000003520399332,0.8408854886889457,5
2015-16,7,Verona,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.8426240310072899,1.3477797194694479,3,0.4,0.8,1.6,0.9336232611909508,1.4054448695853352,5
2015-16,7,Chievo,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6372333609809478,0.7839407951881489,3,1.6,1.4,0.6,0.8361499138176441,1.2364085321314633,5
2015-16,7,Roma,1.3333333333333333,2.6666666666666665,1.6666666666666667,2.3122584773227572,1.0350518946846325,3,2.0,2.4,1.2,1.963364284671843,0.8891215450130403,5
2015-16,7,Bologna,1.0,0.6666666666666666,1.3333333333333333,1.0442955958036084,1.6935424137239654,3,0.6,0.4,1.4,0.7098432182334363,1.4301150383427739,5
